[2024-09-09 10:28:05] | [ERROR] | Main:45 --> Bot token is empty! Please insert token in configs/config.toml!
[2024-09-09 13:20:33] | [INFO ] | BotSession:171 --> Result when calling deleteWebhook: true
[2024-09-09 13:20:33] | [INFO ] | Main:62 --> Telegram bot started!
[2024-09-09 13:20:50] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:20:50] | [INFO ] | SaveComplaintCommand:33 --> Executing SaveComplaintCommand to 327614944
[2024-09-09 13:21:01] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:21:01] | [INFO ] | SaveComplaintCommand:33 --> Executing SaveComplaintCommand to 327614944
[2024-09-09 13:21:06] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:21:06] | [INFO ] | SendComplaintCommand:38 --> Executing SendComplaintCommand to 327614944
[2024-09-09 13:21:09] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:21:09] | [INFO ] | StartCommand:40 --> Executing StartCommand to 327614944
[2024-09-09 13:21:11] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:21:11] | [INFO ] | SelectDistrictCommand:35 --> Executing SelectDistrictCommand to 327614944
[2024-09-09 13:21:24] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:21:24] | [INFO ] | SaveComplaintCommand:33 --> Executing SaveComplaintCommand to 327614944
[2024-09-09 13:21:26] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:21:26] | [INFO ] | SendComplaintCommand:38 --> Executing SendComplaintCommand to 327614944
[2024-09-09 13:21:28] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:21:28] | [INFO ] | SendComplaintCommand:38 --> Executing SendComplaintCommand to 327614944
[2024-09-09 13:23:20] | [INFO ] | MongoDB:33 --> Connecting to database...
[2024-09-09 13:23:20] | [INFO ] | cluster:71 --> Cluster created with settings {hosts=[mdb.kiinse.dev:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
[2024-09-09 13:23:20] | [INFO ] | cluster:71 --> Cluster description not yet available. Waiting for 30000 ms before timing out
[2024-09-09 13:23:20] | [INFO ] | connection:71 --> Opened connection [connectionId{localValue:1, serverValue:1923}] to mdb.kiinse.dev:27017
[2024-09-09 13:23:20] | [INFO ] | cluster:71 --> Monitor thread successfully connected to server with description ServerDescription{address=mdb.kiinse.dev:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[6, 0, 2]}, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=14400709}
[2024-09-09 13:23:20] | [INFO ] | connection:71 --> Opened connection [connectionId{localValue:2, serverValue:1924}] to mdb.kiinse.dev:27017
[2024-09-09 13:23:20] | [INFO ] | MongoDB:56 --> Database connected!
[2024-09-09 13:23:20] | [INFO ] | Main:43 --> Starting Telegram bot...
[2024-09-09 13:23:20] | [INFO ] | Main:44 --> Debug: true
[2024-09-09 13:23:20] | [INFO ] | Main:51 --> Registered command: StartCommand
[2024-09-09 13:23:20] | [INFO ] | Main:51 --> Registered command: ChatIdCommand
[2024-09-09 13:23:20] | [INFO ] | Main:51 --> Registered command: SendComplaintCommand
[2024-09-09 13:23:20] | [INFO ] | Main:51 --> Registered command: ViewComplaintCommand
[2024-09-09 13:23:20] | [INFO ] | Main:51 --> Registered command: ViewComplaintAdminCommand
[2024-09-09 13:23:20] | [INFO ] | Main:51 --> Registered command: RemoveComplaintCommand
[2024-09-09 13:23:21] | [INFO ] | BotSession:171 --> Result when calling deleteWebhook: true
[2024-09-09 13:23:21] | [INFO ] | Main:62 --> Telegram bot started!
[2024-09-09 13:23:25] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:23:25] | [INFO ] | StartCommand:40 --> Executing StartCommand to 327614944
[2024-09-09 13:23:27] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:23:27] | [INFO ] | SelectDistrictCommand:35 --> Executing SelectDistrictCommand to 327614944
[2024-09-09 13:23:38] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:23:38] | [INFO ] | SaveComplaintCommand:33 --> Executing SaveComplaintCommand to 327614944
[2024-09-09 13:23:40] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:23:40] | [INFO ] | SendComplaintCommand:38 --> Executing SendComplaintCommand to 327614944
[2024-09-09 13:24:23] | [INFO ] | MongoDB:33 --> Connecting to database...
[2024-09-09 13:24:23] | [INFO ] | cluster:71 --> Cluster created with settings {hosts=[mdb.kiinse.dev:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
[2024-09-09 13:24:23] | [INFO ] | cluster:71 --> Cluster description not yet available. Waiting for 30000 ms before timing out
[2024-09-09 13:24:23] | [INFO ] | connection:71 --> Opened connection [connectionId{localValue:1, serverValue:1925}] to mdb.kiinse.dev:27017
[2024-09-09 13:24:23] | [INFO ] | cluster:71 --> Monitor thread successfully connected to server with description ServerDescription{address=mdb.kiinse.dev:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[6, 0, 2]}, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=17347250}
[2024-09-09 13:24:23] | [INFO ] | connection:71 --> Opened connection [connectionId{localValue:2, serverValue:1926}] to mdb.kiinse.dev:27017
[2024-09-09 13:24:23] | [INFO ] | MongoDB:56 --> Database connected!
[2024-09-09 13:24:23] | [INFO ] | Main:43 --> Starting Telegram bot...
[2024-09-09 13:24:23] | [INFO ] | Main:44 --> Debug: true
[2024-09-09 13:24:23] | [INFO ] | Main:51 --> Registered command: StartCommand
[2024-09-09 13:24:23] | [INFO ] | Main:51 --> Registered command: ChatIdCommand
[2024-09-09 13:24:23] | [INFO ] | Main:51 --> Registered command: SendComplaintCommand
[2024-09-09 13:24:23] | [INFO ] | Main:51 --> Registered command: ViewComplaintCommand
[2024-09-09 13:24:23] | [INFO ] | Main:51 --> Registered command: ViewComplaintAdminCommand
[2024-09-09 13:24:23] | [INFO ] | Main:51 --> Registered command: RemoveComplaintCommand
[2024-09-09 13:24:24] | [INFO ] | BotSession:171 --> Result when calling deleteWebhook: true
[2024-09-09 13:24:24] | [INFO ] | Main:62 --> Telegram bot started!
